Abadiano (Los Bajos) , Michoacán. Clave Lada 353
Ahuazotepec , Puebla. Clave Lada 776
Ahuehuepan , Guerrero. Clave Lada 733
Ahuehuetitla , Puebla. Clave Lada 275
Ahuehuetzingo , Morelos. Clave Lada 734
Ahuiran , Michoacán. Clave Lada 423
Ajacuba , Hidalgo. Clave Lada 778
Ajalpan , Puebla. Clave Lada 236
Ajijic , Jalisco. Clave Lada 376
Ajuchitlan , Querétaro. Clave Lada 419
Akil , Yucatán. Clave Lada 997
Akumal , Quintana Roo. Clave Lada 984
Alamo Temapache , Veracrúz. Clave Lada 765
Alamos , Sonora. Clave Lada 647
Alaquines , San Luis Potosí. Clave Lada 482
Alcotitla (Xaltipan) , Tlaxcala. Clave Lada 246
Alcozauca de Guerrero , Guerrero. Clave Lada 757
Aldama , Guanajuato. Clave Lada 462
Alfajayucan , Hidalgo. Clave Lada 738
Alfonso G. Calderon (Poblado Clave Lada 7) , Sinaloa. Clave Lada 668
Alfonso G. Calderon Velarde , Sinaloa. Clave Lada 687
Alfredo B. Bonfil , Camp. Clave Lada 981
Alfredo V. Bonfil , Quintana Roo. Clave Lada 998
Alfredo V. Bonfil , Tamaulipas. Clave Lada 868
Almagres , Veracrúz. Clave Lada 924
Almilinga (Santo Domingo Manza , Veracrúz. Clave Lada 278
Almolonga , Puebla. Clave Lada 224
Almoloya de Alquisiras , Estado de México. Clave Lada 716
Almoloya de Juarez , Estado de México. Clave Lada 725
Almoloya de las Granadas , Estado de México. Clave Lada 724
Almoloya , Hidalgo. Clave Lada 748
Alpoyeca , Guerrero. Clave Lada 757
Altamira , Tamaulipas. Clave Lada 833
Altamira , Zacatecas. Clave Lada 493
Altamirano , Chiapas. Clave Lada 919
Altar , Sonora. Clave Lada 637
Altata , Sinaloa. Clave Lada 672
Altavista de Ramos , Jalisco. Clave Lada 375
Altepexi , Puebla. Clave Lada 236
Alto Lucero , Veracrúz. Clave Lada 279
Altotonga , Veracrúz. Clave Lada 226
Altzayanca , Tlaxcala. Clave Lada 276
Alvarado , Veracrúz. Clave Lada 297
Alvaro 0bregon (Pujal) , San Luis Potosí. Clave Lada 481
Alvaro Obregon , Chiapas. Clave Lada 961
Alvaro Obregon , Chiapas. Clave Lada 962
Alvaro Obregon , CDMX (Ciudad de México). Clave Lada 55
Alvaro Obregon , Guanajuato. Clave Lada 477
Alvaro Obregon , Michoacán. Clave Lada 455
Alvaro Obregon , Oaxaca. Clave Lada 971
Alzada , Colima. Clave Lada 312
Allende , Coahuila. Clave Lada 862
Allende , Nuevo León. Clave Lada 826
Allende , Tamaulipas. Clave Lada 835
Allende , Veracrúz. Clave Lada 921
Amacueca , Jalisco. Clave Lada 372
Amacuzac , Morelos. Clave Lada 751
Amado Nervo (El Conde) , Nayarit. Clave Lada 327
Amanalco de Becerra , Estado de México. Clave Lada 726
Amapa , Nayarit. Clave Lada 323
Amarillas de Esparza (Amarillas) , Aguascalientes. Clave Lada 496
Amartillan , Veracrúz. Clave Lada 288
Amatepec , Estado de México. Clave Lada 716
Amatillo , Guerrero. Clave Lada 744
Amatitan , Jalisco. Clave Lada 374
Amatlan de Canas , Nayarit. Clave Lada 324
Amatlan de los Reyes , Veracrúz. Clave Lada 271
Amatlan de Quetzalcoatl , Morelos. Clave Lada 739
Amatlan , Veracrúz. Clave Lada 768
Amayuca , Morelos. Clave Lada 731
Amazcala , Querétaro. Clave Lada 442
Amealco , Querétaro. Clave Lada 448
Ameca , Jalisco. Clave Lada 375
Amecameca , Estado de México. Clave Lada 597
Ameche , Guanajuato. Clave Lada 442
Amozoc , Puebla. Clave Lada 222
Ampliacion los Angeles , Estado de México. Clave Lada 594
Ampliacion los Angeles , Michoacán. Clave Lada 452
Amuco de la Reforma , Guerrero. Clave Lada 767
Anacleto Canabal Clave Lada 1a. Seccion , Tabasco. Clave Lada 993
Anahuac , Tamaulipas. Clave Lada 894
Anahuac , Veracrúz. Clave Lada 833
Andocutin , Guanajuato. Clave Lada 417
Angamacutiro , Michoacán. Clave Lada 454
Angangueo , Michoacán. Clave Lada 715
Angao (Angao de los Herrera) , Michoacán. Clave Lada 435
Angel Rosario Cabada , Veracrúz. Clave Lada 284
Angostura , Sinaloa. Clave Lada 697
Anonas , Guerrero. Clave Lada 767
Antiguo Morelos , Tamaulipas. Clave Lada 831
Anton Lizardo , Veracrúz. Clave Lada 297
Antonio Amaro , Durango. Clave Lada 676
Antonio Escobedo , Jalisco. Clave Lada 386
Antunez , Michoacán. Clave Lada 425
Apan , Hidalgo. Clave Lada 748
Apango , Guerrero. Clave Lada 754
Apaseo El Alto , Guanajuato. Clave Lada 413
Apaseo El Grande , Guanajuato. Clave Lada 413
Apatzingan , Michoacán. Clave Lada 453
Apaxco , Estado de México. Clave Lada 599
Apaxtla de Castrejon , Guerrero. Clave Lada 736
Apazapan , Veracrúz. Clave Lada 279
Apeo , Michoacán. Clave Lada 447
Apipilulco , Guerrero. Clave Lada 736
Apizaco , Tlaxcala. Clave Lada 241
Aporo , Michoacán. Clave Lada 786
Apozol , Zacatecas. Clave Lada 467
Apulco , Zacatecas. Clave Lada 346
Aquila , Michoacán. Clave Lada 313
Aquiles Serdan (San Fernando) , Tabasco. Clave Lada 936
Aquiles Serdan (Santiaguillo) , Michoacán. Clave Lada 351
Aquiles Serdan , Tamaulipas. Clave Lada 834
Aquismon , San Luis Potosí. Clave Lada 482
Aquixtla , Puebla. Clave Lada 797
Aramberri , Nuevo León. Clave Lada 826
Arandas , Guanajuato. Clave Lada 462
Arandas , Jalisco. Clave Lada 348
Arantepacua , Michoacán. Clave Lada 423

Araro , Michoacán. Clave Lada 451
Aratichanguio , Guerrero. Clave Lada 767
Aratzipu , Guanajuato. Clave Lada 469
Arbolillo , Veracrúz. Clave Lada 297
Arcabuz , Tamaulipas. Clave Lada 897
Arcelia , Guerrero. Clave Lada 732
Arena de Hidalgo , Tabasco. Clave Lada 934
Areponapuchi , Chihuahua. Clave Lada 635
Ario de Rayon , Michoacán. Clave Lada 351
Ario de Rosales , Michoacán. Clave Lada 422
Arivechi , Sonora. Clave Lada 634
Arizpe , Sonora. Clave Lada 634
Armeria , Colima. Clave Lada 313
Arperos , Guanajuato. Clave Lada 473
Arreguin de Abajo , Guanajuato. Clave Lada 461
Arriaga , Chiapas. Clave Lada 966
Arroyo Colorado , Guanajuato. Clave Lada 417
Arroyo del Potrero , Veracrúz. Clave Lada 232
Arroyo Grande , Guerrero. Clave Lada 732
Arroyo Hondo , Jalisco. Clave Lada 358
Arroyo Hondo , Veracrúz. Clave Lada 235
Arroyo Seco , Querétaro. Clave Lada 487
Arroyo Zarco , Estado de México. Clave Lada 718
Arteaga , Coahuila. Clave Lada 844
Arteaga , Michoacán. Clave Lada 753
Asientos , Aguascalientes. Clave Lada 496
Asuncion Atoyaquillo , Oaxaca. Clave Lada 953
Asuncion Ixtaltepec , Oaxaca. Clave Lada 971
Asuncion Nochixtlan , Oaxaca. Clave Lada 951
Atacheo de Regalado , Michoacán. Clave Lada 351
Atapan , Michoacán. Clave Lada 354
Atasta , Camp. Clave Lada 938
Atemajac de Brizuela , Jalisco. Clave Lada 326
Atenango del Rio , Guerrero. Clave Lada 727
Atencingo , Puebla. Clave Lada 243
Atengo , Jalisco. Clave Lada 349
Atenguillo , Jalisco. Clave Lada 388
Atenquique , Jalisco. Clave Lada 371
Atequiza , Jalisco. Clave Lada 376
Aticama , Nayarit. Clave Lada 323
Atil , Sonora. Clave Lada 637
Atitalaquia , Hidalgo. Clave Lada 778
Atitanac , Zacatecas. Clave Lada 499
Atlacomulco , Estado de México. Clave Lada 712
Atlapexco , Hidalgo. Clave Lada 789
Atlatlahuca , Estado de México. Clave Lada 717
Atlatlahucan , Morelos. Clave Lada 735
Atliaca , Guerrero. Clave Lada 754
Atlixco , Puebla. Clave Lada 244
Atlixtac , Guerrero. Clave Lada 756
Atolinga , Zacatecas. Clave Lada 437
Atongo de Abajo , Nuevo León. Clave Lada 826
Atongo , Querétaro. Clave Lada 442
Atotonilco (santuario) , Guanajuato. Clave Lada 415
Atotonilco de Tula , Hidalgo. Clave Lada 778
Atotonilco El Alto , Jalisco. Clave Lada 391
Atotonilco El Bajo , Jalisco. Clave Lada 377
Atotonilco El Grande , Hidalgo. Clave Lada 774
Atoyac de Alvarez , Guerrero. Clave Lada 742
Atoyac , Jalisco. Clave Lada 372
Atoyatempan , Puebla. Clave Lada 224
Atzitzintla , Puebla. Clave Lada 245
Augusto Gomez Villanueva , Colima. Clave Lada 313
Aurelio Manrique , San Luis Potosí. Clave Lada 845
Autlan , Jalisco. Clave Lada 317
Axochiapan , Morelos. Clave Lada 769
Axotlan , Estado de México. Clave Lada 55
Axtla de Terrazas , San Luis Potosí. Clave Lada 489
Axutla , Puebla. Clave Lada 275
Ayapa , Tabasco. Clave Lada 914
Ayoquezco de Aldama , Oaxaca. Clave Lada 951
Ayotla , Puebla. Clave Lada 243
Ayotlan , Jalisco. Clave Lada 345
Ayotoxco de Guerrero , Puebla. Clave Lada 233
Ayotzintepec , Oaxaca. Clave Lada 283
Ayuquila , Jalisco. Clave Lada 321
Ayutla (San Felipe Ayutla) , Puebla. Clave Lada 243
Ayutla de los Libres , Guerrero. Clave Lada 745
Ayutla , Jalisco. Clave Lada 316
Azcapotzalco , CDMX (Ciudad de México). Clave Lada 55
Azoyu , Guerrero. Clave Lada 741
Azumbilla , Puebla. Clave Lada 238
Baborigame , Chihuahua. Clave Lada 649
Baca , Yucatán. Clave Lada 991
Bacabachi , Sonora. Clave Lada 642
Bacadehuachi , Sonora. Clave Lada 634
Bacalar , Quintana Roo. Clave Lada 983
Bacame Nuevo , Sonora. Clave Lada 647
Bacerac , Sonora. Clave Lada 634
Bacoachi , Sonora. Clave Lada 645
Bacobampo , Sonora. Clave Lada 647
Bacum , Sonora. Clave Lada 644
Bachajon , Chiapas. Clave Lada 919
Bachiniva , Chihuahua. Clave Lada 659
Bachoco , Sinaloa. Clave Lada 687
Bachomobampo Numero Dos , Sinaloa. Clave Lada 668
Badiraguato , Sinaloa. Clave Lada 697
Bagojo Colectivo Emiliano Zapata , Sinaloa. Clave Lada 668
Bahia Asuncion , Baja California Sur. Clave Lada 615
Bahia Bufadero , Michoacán. Clave Lada 753
Bahia de Huatulco(crucesita) , Oaxaca. Clave Lada 958
Bahia de Kino , Sonora. Clave Lada 662
Bahia Tortugas , Baja California Sur. Clave Lada 615
Bahuichivo , Chihuahua. Clave Lada 635
Bajamar , Baja California. Clave Lada 646
Bajio de Bonillas , Guanajuato. Clave Lada 472
Bajio de San Jose , Jalisco. Clave Lada 475
Bajio de San Nicolas (San Nicol , Zacatecas. Clave Lada 496
Bajos de Chila , Oaxaca. Clave Lada 954
Bajos del Ejido , Guerrero. Clave Lada 781
Balancan , Tabasco. Clave Lada 934
Banamichi , Sonora. Clave Lada 623
Banderilla , Veracrúz. Clave Lada 228
Barra de Cazones , Veracrúz. Clave Lada 784
Barra de Navidad , Jalisco. Clave Lada 315
Barra de Palmas , Veracrúz. Clave Lada 235
Barra Vieja , Guerrero. Clave Lada 744
Barranca (Buenos Aires) , Veracrúz. Clave Lada 922
Barranca de Otates , Jalisco. Clave Lada 326
Barranca de Santa Clara (Barranca de Enmedio) , Jalisco. Clave Lada 326
Barreales , Chihuahua. Clave Lada 656
Barretos , Guanajuato. Clave Lada 477
Barrio La Soledad , Puebla. Clave Lada 249
Barron , Guanajuato. Clave Lada 464
Basaseachi , Chihuahua. Clave Lada 635
Base Aerea Militar No. Clave Lada 5 , Jalisco. Clave Lada 33
Basuchil , Chihuahua. Clave Lada 635
Batamote , Sinaloa. Clave Lada 687
Batopilas , Chihuahua. Clave Lada 649
Batuecas , Michoacán. Clave Lada 438
Baviacora , Sonora. Clave Lada 623
Bavispe , Sonora. Clave Lada 634
Becal , Camp. Clave Lada 996
Bejucos , Estado de México. Clave Lada 724
Belen del Refugio , Jalisco. Clave Lada 346
Belen , Guanajuato. Clave Lada 413
Belisario Dominguez , Chiapas. Clave Lada 962
Bella Vista del Rio , Querétaro. Clave Lada 761
Bellas Fuentes , Michoacán. Clave Lada 454
Bellavista , Jalisco. Clave Lada 387
Bellavista , Nayarit. Clave Lada 311
Benemerito Juarez (Palo Gacho) , Oaxaca. Clave Lada 287
Benito Juarez (Buenavista) , Baja California Sur. Clave Lada 613
Benito Juarez (Mpio.B. Juarez) ,  , Zacatecas. Clave Lada 467
Benito Juarez (Mpio.Buenaven , Chihuahua. Clave Lada 636
Benito Juarez (Mpio.Sombrerete) , Zacatecas. Clave Lada 433
Benito Juarez (San Carlos) , Tabasco. Clave Lada 936
Benito Juarez (Tecolotes) , Baja California. Clave Lada 658
Benito Juarez , Chiapas. Clave Lada 992
Benito Juarez , CDMX (Ciudad de México). Clave Lada 55
Benito Juarez , Michoacán. Clave Lada 786
Benito Juarez , Sinaloa. Clave Lada 673
Benito Juarez , Tlaxcala. Clave Lada 748
Benito Juarez , Veracrúz. Clave Lada 746
Benjamin Hill , Sonora. Clave Lada 641
Bermejillo , Durango. Clave Lada 872
Bernal , Querétaro. Clave Lada 441
Berriozabal , Chiapas. Clave Lada 961
Betania , Jalisco. Clave Lada 345
Betulia , Jalisco. Clave Lada 474
Blanca Espuma , Veracrúz. Clave Lada 279
Bledos , San Luis Potosí. Clave Lada 485
Boca de Camichin , Nayarit. Clave Lada 323
Boca del Monte , Veracrúz. Clave Lada 273
Boca del Monte , Veracrúz. Clave Lada 283
Boca del Rio , Veracrúz. Clave Lada 229
Bocoyna , Chihuahua. Clave Lada 635
Bochil , Chiapas. Clave Lada 919
Bolanos , Jalisco. Clave Lada 437
Bolonchen de Rejon , Camp. Clave Lada 996
Bomintzha , Hidalgo. Clave Lada 773
Boqueron Clave Lada 3a. Seccion (Guanal) , Tabasco. Clave Lada 993
Boquilla de Arriba , Zacatecas. Clave Lada 498
Boye , Querétaro. Clave Lada 441
Buaysiacobe , Sonora. Clave Lada 643
Bucerias , Nayarit. Clave Lada 329
Buctzotz , Yucatán. Clave Lada 991
Buena Vista Rio Nuevo Clave Lada 2da. Secc , Tabasco. Clave Lada 993
Buena Vista , Baja California Sur. Clave Lada 624
Buena Vista , Veracrúz. Clave Lada 279
Buenavista (Ejido Buena Vista M , Veracrúz. Clave Lada 846
Buenavista de Cortes , Guanajuato. Clave Lada 469
Buenavista de Cuellar , Guerrero. Clave Lada 727
Buenavista de Penuelas , Aguascalientes. Clave Lada 449
Buenavista Tomatlan , Michoacán. Clave Lada 426
Buenavista , Jalisco. Clave Lada 376
Buenavista , Jalisco. Clave Lada 385
Buenavista , Jalisco. Clave Lada 33
Buenavista , Estado de México. Clave Lada 55
Buenavista , Querétaro. Clave Lada 442
Buenavista , San Luis Potosí. Clave Lada 486
Buenavistilla , Guanajuato. Clave Lada 419
Buenos Aires(Zinacantal) , Chiapas. Clave Lada 964
Buenos Aires , Chihuahua. Clave Lada 636
Buenos Aires , Jalisco. Clave Lada 345
Buenos Aires , Michoacán. Clave Lada 753
Burgos , Tamaulipas. Clave Lada 841
Bustamante , Nuevo León. Clave Lada 829
Bustamante , Tamaulipas. Clave Lada 832
Cabeza de Toro , Chiapas. Clave Lada 994
Cabo del Sol , Baja California Sur. Clave Lada 624
Cabo San Lucas , Baja California Sur. Clave Lada 624
Caborca , Sonora. Clave Lada 637
Cacahoatan , Chiapas. Clave Lada 962
Cacahuatal , Veracrúz. Clave Lada 271
Cacalchen , Yucatán. Clave Lada 991
Cacalotan , Sinaloa. Clave Lada 694
Cadereyta , Nuevo León. Clave Lada 828
Cadereyta , Querétaro. Clave Lada 441
Caimanero , Sinaloa. Clave Lada 697
Cajititlan , Jalisco. Clave Lada 33
Calderitas , Quintana Roo. Clave Lada 983
Calera de Victor Rosales , Zacatecas. Clave Lada 478
Caleras de Ameche , Guanajuato. Clave Lada 442
California , Durango. Clave Lada 871
Calimaya de Diaz Gonzalez , Estado de México. Clave Lada 722
Calipan , Puebla. Clave Lada 236
Calixtlahuaca , Estado de México. Clave Lada 722
Calkini , Camp. Clave Lada 996
Calmeca (San Juan Calmeca) , Puebla. Clave Lada 243
Calnali , Hidalgo. Clave Lada 774
Calotmul , Yucatán. Clave Lada 986
Calpulalpan , Estado de México. Clave Lada 761
Calpulalpan , Tlaxcala. Clave Lada 749
Caltimacan , Hidalgo. Clave Lada 759
Calvillo , Aguascalientes. Clave Lada 495
Calzada del Tepozan (El Tepozan) , Guanajuato. Clave Lada 432
Callejones y Granados , Guanajuato. Clave Lada 464
Camajapita , Jalisco. Clave Lada 385
Camajoa , Sinaloa. Clave Lada 698
Camalu , Baja California. Clave Lada 616
Camaron de Tejeda , Veracrúz. Clave Lada 273
Camelia Roja , Oaxaca. Clave Lada 287
Camichines , Jalisco. Clave Lada 377
Camotinchan , Oaxaca. Clave Lada 954
Camotlan de Miraflores , Colima. Clave Lada 314
Campamento Sarh , Jalisco. Clave Lada 322
Campeche , Camp. Clave Lada 981
Campo Clave Lada 303 , Chihuahua. Clave Lada 659
Campo Clave Lada 305 ( Jagueyes ) , Chihuahua. Clave Lada 659
Campo Acosta , Jalisco. Clave Lada 322
Campo Balbuena , Sinaloa. Clave Lada 672
Campo Cinco (La Honda) , Zacatecas. Clave Lada 433
Campo Cuichapa (Mpio. Cuichapa) , Veracrúz. Clave Lada 278
Campo Diecisiete (La Honda) , Zacatecas. Clave Lada 433
Campo Menonita Numero Clave Lada 106 , Chihuahua. Clave Lada 625
Campo Militar N. Clave Lada 37B (El Cabi) , Estado de México. Clave Lada 55
Campo Nuevo , Veracrúz. Clave Lada 924
Campo Numero Ciento Uno Viejo , Chihuahua. Clave Lada 625
Campo Numero Cientosiete , Chihuahua. Clave Lada 625
Campo Numero Diez , Chihuahua. Clave Lada 625
Campo Numero Ocho , Chihuahua. Clave Lada 625
Campo Numero Seis y Medio B , Chihuahua. Clave Lada 625
Campo Numero Veinte , Chihuahua. Clave Lada 625
Campo Numero Veintidos , Chihuahua. Clave Lada 625
Canalejas , Estado de México. Clave Lada 761
Cananea , Sonora. Clave Lada 645
Canatlan , Durango. Clave Lada 677
Cancun , Quintana Roo. Clave Lada 998
Candela , Coahuila. Clave Lada 873
Candelaria Loxicha , Oaxaca. Clave Lada 958
Candelaria , Camp. Clave Lada 982
Canelas , Durango. Clave Lada 674
Cansahcab , Yucatán. Clave Lada 991
Cantabria , Michoacán. Clave Lada 436
Canticas , Veracrúz. Clave Lada 921
Canutillo , Durango. Clave Lada 649
Canada de Bustos , Guanajuato. Clave Lada 473
Canada de Caracheo , Guanajuato. Clave Lada 411
Canada de Negros , Guanajuato. Clave Lada 476
Canada del Tabaco , Nayarit. Clave Lada 323
Canada Grande , San Luis Potosí. Clave Lada 487
Canada Rica , Veracrúz. Clave Lada 232
Canadas de Obregon , Jalisco. Clave Lada 431
Canitas de Felipe Pescador , Zacatecas. Clave Lada 458
Cap. Felipe Castellanos (San Pedro) , Tabasco. Clave Lada 934
Capacuaro , Michoacán. Clave Lada 452
Capacho , Michoacán. Clave Lada 455
Capardillas (Rancho Santa Lugarda) , Estado de México. Clave Lada 722
Capilla de Guadalupe , Jalisco. Clave Lada 378
Capilla de Milpillas (Milpillas) , Jalisco. Clave Lada 378
Capoacan , Veracrúz. Clave Lada 922
Capula , Michoacán. Clave Lada 443
Capulalpam de Mendez , Oaxaca. Clave Lada 951
Caracuaro , Michoacán. Clave Lada 459
Carapan , Michoacán. Clave Lada 355
Carbo , Sonora. Clave Lada 623
Carboneras (La Carbonera) , Tamaulipas. Clave Lada 841
Carboneras , Aguascalientes. Clave Lada 465
Cardenas , Guanajuato. Clave Lada 464
Cardenas , San Luis Potosí. Clave Lada 487
Cardenas , Tabasco. Clave Lada 937
Cardonal , Hidalgo. Clave Lada 759
Careyes , Jalisco. Clave Lada 315
Carichi , Chihuahua. Clave Lada 635
Carlos A. Carrillo (San Cristobal) , Veracrúz. Clave Lada 288
Carlos Greene Clave Lada 1ra. Seccion , Tabasco. Clave Lada 933
Carmen , Nuevo León. Clave Lada 81
Carrillo Puerto , Chiapas. Clave Lada 962
Carrizal Grande , Guanajuato. Clave Lada 462
Carrizal , Veracrúz. Clave Lada 784
Casa Blanca , Querétaro. Clave Lada 442
Casa de Janos , Chihuahua. Clave Lada 636
Casas Grandes , Chihuahua. Clave Lada 636
Casas , Tamaulipas. Clave Lada 835
Casimiro Castillo , Jalisco. Clave Lada 357
Casitas , Veracrúz. Clave Lada 232
Castanos , Coahuila. Clave Lada 866
Castillo de Teayo , Veracrúz. Clave Lada 746
Catalinas (Francisco Villa) , Michoacán. Clave Lada 426
Catarino Rodriguez (El Potosi) , Nuevo León. Clave Lada 826
Catazaja , Chiapas. Clave Lada 916
Catemaco , Veracrúz. Clave Lada 294
Caucel , Yucatán. Clave Lada 999
Caurio de Guadalupe (Cabrio) , Michoacán. Clave Lada 454
Caxhuacan , Puebla. Clave Lada 233
Caxuxi , Hidalgo. Clave Lada 772
Cazones de Herrera , Veracrúz. Clave Lada 784
Ce.Re.So. San Jose el Alto , Querétaro. Clave Lada 442
Ceballos , Durango. Clave Lada 629
Cedral , San Luis Potosí. Clave Lada 488
Celaya , Guanajuato. Clave Lada 461
Celaya , Tamaulipas. Clave Lada 831
Celestun , Yucatán. Clave Lada 988
Cenobio Moreno (Las Colonias) , Michoacán. Clave Lada 453
Cenotillo , Yucatán. Clave Lada 991
Centenario , Camp. Clave Lada 982
Centro de Readaptacion Social , Jalisco. Clave Lada 33
Cerano (San Juan Cerano) , Guanajuato. Clave Lada 438
Cerocahui , Chihuahua. Clave Lada 635
Cerralvo , Nuevo León. Clave Lada 892
Cerrillos (Campo Clave Lada 35) , Sinaloa. Clave Lada 668
Cerrito Colorado , Michoacán. Clave Lada 353
Cerrito de San Pablo , Guanajuato. Clave Lada 418
Cerrito del Agua , Zacatecas. Clave Lada 496
Cerritos de Villa de Pozos , San Luis Potosí. Clave Lada 444
Cerritos , Guanajuato. Clave Lada 415
Cerritos , San Luis Potosí. Clave Lada 486
Cerro Agudo , Sinaloa. Clave Lada 673
Cerro Azul , Veracrúz. Clave Lada 785
Cerro Colorado , Guanajuato. Clave Lada 456
Cerro Colorado , Hidalgo. Clave Lada 774
Cerro de Ortega , Colima. Clave Lada 313
Cerro Gordo (San Rafael) , Guanajuato. Clave Lada 464
Cerro Gordo , Veracrúz. Clave Lada 279
Cibuta , Sonora. Clave Lada 631
Cienaga de Flores , Nuevo León. Clave Lada 825
Cienaga de Nuestra Senora de Guadalupe , Durango. Clave Lada 674
Cienaga Grande , Aguascalientes. Clave Lada 496
Cieneguilla , Durango. Clave Lada 675
Cieneguillas , Estado de México. Clave Lada 725
Cihuatlan , Jalisco. Clave Lada 315
Cinco de Febrero , Durango. Clave Lada 618
Cintalapa , Chiapas. Clave Lada 968
Citala , Jalisco. Clave Lada 372
Citlaltepec , Veracrúz. Clave Lada 785
Ciudad Acuna , Coahuila. Clave Lada 877
Ciudad Altamirano , Guerrero. Clave Lada 767
Ciudad Anahuac , Nuevo León. Clave Lada 873
Ciudad Apodaca , Nuevo León. Clave Lada 81
Ciudad Ayala , Morelos. Clave Lada 735
Ciudad Benito Juarez , Nuevo León. Clave Lada 81
Ciudad Camargo , Chihuahua. Clave Lada 648
Ciudad Camargo , Tamaulipas. Clave Lada 891
Ciudad Constitucion , Baja California Sur. Clave Lada 613
Ciudad Cuauhtemoc , Chihuahua. Clave Lada 625
Ciudad Cuauhtemoc , Chiapas. Clave Lada 963
Ciudad Cuauhtemoc , Veracrúz. Clave Lada 833
Ciudad de Armeria , Colima. Clave Lada 313
Ciudad de Huajuapam de Leon , Oaxaca. Clave Lada 953
Ciudad de Villa de Alvarez , Colima. Clave Lada 312
